eplenmean,eprewmean,explained_variance,fps,nupdates,policy_entropy,total_timesteps,value_loss
6418.20895522388,374240.8068634328,0.8395764082670212,93,22000,0.2682197093963623,440000,1.9314124584197998
6418.20895522388,374240.8068634328,0.997243016725406,93,22100,0.633904755115509,442000,0.023590728640556335
6418.20895522388,374240.8068634328,0.8813693225383759,93,22200,0.17170222103595734,444000,0.7734060883522034
6418.20895522388,374240.8068634328,-3.406553268432617,93,22300,1.392566204071045,446000,1.2672711610794067
6439.985294117647,373475.1296996618,0.46654021739959717,94,22400,1.4522141218185425,448000,6.3338623046875
6439.985294117647,373475.1296996618,0.27642589807510376,94,22500,0.43833327293395996,450000,1.437349557876587
6439.985294117647,373475.1296996618,0.7310913503170013,94,22600,0.6786797046661377,452000,4.754185676574707
6439.985294117647,373475.1296996618,-1.6599640846252441,94,22700,5.47140645980835,454000,0.029099607840180397
6439.985294117647,373475.1296996618,-0.05126965045928955,94,22800,5.484650135040283,456000,1.0234856605529785
6439.985294117647,373475.1296996618,0.24820393323898315,94,22900,5.941555023193359,458000,0.19206306338310242
6439.985294117647,373475.1296996618,-0.012627601623535156,94,23000,5.155953407287598,460000,2.106818437576294
6439.985294117647,373475.1296996618,0.14670801162719727,94,23100,0.5672885775566101,462000,3.2208914756774902
6435.591549295775,376468.75295433804,-0.09252023696899414,94,23200,5.968533515930176,464000,3.194301128387451
6441.027777777777,387598.66582620837,0.17406970262527466,94,23300,0.5277199745178223,466000,3.635572910308838
6441.027777777777,387598.66582620837,0.39211052656173706,94,23400,0.14000096917152405,468000,0.5605158805847168
6441.027777777777,387598.66582620837,-0.1748427152633667,94,23500,4.20205020904541,470000,3.338580369949341
6441.027777777777,387598.66582620837,-0.030974268913269043,94,23600,5.243589878082275,472000,5.421490669250488
6441.027777777777,387598.66582620837,0.4331848621368408,94,23700,6.0756683349609375,474000,0.2478390634059906
6441.027777777777,387598.66582620837,0.5442171990871429,94,23800,5.950898170471191,476000,0.048285312950611115
6441.027777777777,387598.66582620837,0.24338603019714355,94,23900,4.637739658355713,478000,6.3841962814331055
6408.109589041096,389091.549715274,0.3505462408065796,94,24000,5.556439399719238,480000,1.2924692630767822
6384.608108108108,388054.16890908114,-0.04425621032714844,94,24100,5.400340557098389,482000,5.014434814453125
6334.789473684211,395823.66932947375,0.5122151672840118,94,24200,2.764657497406006,484000,2.450479745864868
6334.789473684211,395823.66932947375,-1.2077014446258545,94,24300,2.58491849899292,486000,2.58632755279541
6334.789473684211,395823.66932947375,0.5226099193096161,94,24400,4.455483436584473,488000,1.3813374042510986
6334.789473684211,395823.66932947375,-0.01721322536468506,94,24500,1.664880394935608,490000,3.448871612548828
6334.789473684211,395823.66932947375,0.009894490242004395,94,24600,2.84787917137146,492000,2.072120189666748
