eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
4583.923076923077,695495.0,83,0.0040585087,0.1743164,4.6163793,-0.007725301,2.0384433,0.021935462951660156,130,16640,834.8011745499971,66560
4583.923076923077,695495.0,82,0.0024168384,0.15332031,4.577447,-0.01124436,3.1935894,0.027563512325286865,131,16768,840.9898157739954,67072
4583.923076923077,695495.0,83,0.0016144526,0.072265625,4.5482197,-0.0019021815,5.242281,-0.0032161474227905273,132,16896,847.1025028589938,67584
4583.923076923077,695495.0,84,0.0032108682,0.16748047,4.636951,-0.009722363,1.1764139,0.02419757843017578,133,17024,853.176723446988,68096
4583.923076923077,695495.0,83,0.0032192345,0.1772461,4.583065,-0.010402335,3.530867,0.038685381412506104,134,17152,859.3136748370016,68608
4583.923076923077,695495.0,64,0.00085299864,0.032714844,4.560791,-0.0044246167,5.080199,0.05612903833389282,135,17280,867.199058120983,69120
4583.923076923077,695495.0,78,0.0024679033,0.13232422,4.469845,-0.010000758,3.516164,0.03479260206222534,136,17408,873.7416226859787,69632
4583.923076923077,695495.0,90,0.0009514467,0.0390625,4.31594,-0.008116893,3.767538,-0.019078612327575684,137,17536,879.3745412159769,70144
4583.923076923077,695495.0,99,0.0008786437,0.026367188,4.286297,-0.0063673817,4.520135,0.02733379602432251,138,17664,884.4993140649749,70656
4583.923076923077,695495.0,101,0.0014058035,0.08544922,4.2219725,-0.0075708516,3.365861,0.050495028495788574,139,17792,889.5299408169813,71168
4583.923076923077,695495.0,95,0.0057405494,0.25732422,4.2350197,-0.002852539,1.8259205,0.018165171146392822,140,17920,894.876285641978,71680
4583.923076923077,695495.0,99,0.0015204862,0.092285156,4.1992817,-0.009782068,2.632714,0.03702080249786377,141,18048,900.011954371992,72192
4583.923076923077,695495.0,95,0.0016836455,0.07128906,4.198896,-0.01002274,4.6279583,0.09378892183303833,142,18176,905.381030738994,72704
4583.923076923077,695495.0,101,0.0012124695,0.049316406,4.166033,-0.0073342924,3.4699888,0.04943561553955078,143,18304,910.403613233997,73216
4583.923076923077,695495.0,102,0.00075437635,0.025878906,4.141506,-0.003076721,4.5429354,0.05965679883956909,144,18432,915.4080440120015,73728
4583.923076923077,695495.0,92,0.0010477543,0.034179688,4.1466265,-0.004965866,6.5657587,0.0660049319267273,145,18560,920.9437422609772,74240
4610.928571428572,697720.0,89,0.0012894012,0.07324219,4.1913214,-0.0043932004,7.093992,0.06159496307373047,146,18688,926.6915199849755,74752
4610.928571428572,697720.0,98,0.0016624976,0.08203125,4.147996,-0.0066612796,3.6107986,0.05874699354171753,147,18816,931.873310645984,75264
4610.928571428572,697720.0,98,0.0010526255,0.04248047,4.1567802,-0.009242044,4.868472,0.09532779455184937,148,18944,937.0844908829895,75776
4610.928571428572,697720.0,97,0.009325981,0.39746094,4.098782,-0.010459406,2.3111105,0.06536084413528442,149,19072,942.3459431229858,76288
4525.6,695714.0,98,0.0007117984,0.022949219,4.096036,-0.004858765,6.4591045,0.00034821033477783203,150,19200,947.5313391090021,76800
4525.6,695714.0,94,0.0046314974,0.21044922,4.0384464,-0.010378117,2.737234,-0.00020599365234375,151,19328,952.954396287998,77312
4525.6,695714.0,94,0.012666657,0.43017578,3.8662515,0.005420342,3.3897724,0.05580788850784302,152,19456,958.3702664269949,77824
4481.0,693822.5,96,0.015559373,0.37695312,3.934169,0.005057694,3.9506583,0.08110111951828003,153,19584,963.6737595299783,78336
4481.0,693822.5,101,0.0019754863,0.111816406,3.9130554,-0.005115156,3.4757187,0.003773510456085205,154,19712,968.7382270959788,78848
4481.0,693822.5,101,0.0023317228,0.18798828,3.8648822,-0.0018322938,4.1994915,0.01255732774734497,155,19840,973.7900332779973,79360
4481.0,693822.5,94,0.0011272377,0.05126953,3.9699495,-0.007063001,3.0150218,-0.03434634208679199,156,19968,979.2016337169916,79872
4481.0,693822.5,94,0.007565067,0.3203125,3.9384515,-0.0023838575,4.0489554,0.06291031837463379,157,20096,984.6092599539843,80384
4481.0,693822.5,90,0.0016284622,0.087890625,3.984163,-0.0064763324,4.9615517,0.09448504447937012,158,20224,990.2515466999903,80896
4481.0,693822.5,95,0.0006495473,0.014160156,3.9097137,-0.003777125,5.4946404,0.0947311520576477,159,20352,995.5955981430016,81408
4481.0,693822.5,93,0.009117272,0.3803711,3.9597685,-0.0051985225,0.38237756,-0.09819114208221436,160,20480,1001.0711151379801,81920
4481.0,693822.5,96,0.0033459028,0.2475586,3.8857646,-0.0023203013,10.680583,0.032959163188934326,161,20608,1006.3961303230026,82432
4481.0,693822.5,100,0.0012126013,0.049316406,3.9307506,-0.004573209,4.480374,0.08308029174804688,162,20736,1011.4774832389958,82944
4595.705882352941,693075.8823529412,98,0.0017554574,0.09277344,3.9290085,-0.010510317,4.4879203,0.07711631059646606,163,20864,1016.6520870619861,83456
4595.705882352941,693075.8823529412,98,0.0013213028,0.091796875,3.9137404,-0.006253951,3.5751379,0.05646735429763794,164,20992,1021.8411913989985,83968
4595.705882352941,693075.8823529412,98,0.0006094904,0.013183594,3.9606903,-0.0023751035,7.9805493,-0.06387770175933838,165,21120,1027.0218217549846,84480
4595.705882352941,693075.8823529412,100,0.0013844669,0.10595703,4.0154157,-0.008482287,3.3772118,0.07908183336257935,166,21248,1032.1052936709893,84992
4595.705882352941,693075.8823529412,100,0.00081690925,0.028320312,4.0035357,-0.005584537,4.7384114,0.04068565368652344,167,21376,1037.19135249799,85504
